job_size,perc_jobs_lte
1,14.075061601023414
2,15.233048381285325
3,16.010117304472708
4,17.080093233665597
5,19.512221838754947
6,19.85126662745661
7,20.04019931405283
8,22.298628441584295
9,22.39931659413488
10,29.066584020787268
11,29.10947945218284
12,30.312128891350998
13,30.321052660020626
14,30.335774687547605
15,31.800966950946872
16,34.030302547889306
17,34.03874434541966
18,34.23486278354691
19,34.25678516779095
20,41.82197943210071
21,41.847742980272926
22,41.8589889735227
23,41.86402776270604
24,41.98846394775549
25,44.28658997094006
26,44.311652470182416
27,44.50133002126661
28,44.92172569620366
29,45.069544784101026
30,49.953665047292326
31,50.00754357858897
32,50.816554043642924
33,50.81848192820003
34,50.81897850452535
35,50.922748351330085
36,51.465360223038715
37,51.574519383491726
38,51.58506432781165
39,51.58791233908919
40,56.61209633639132
41,56.69293604111535
42,56.69907021925159
43,56.73737962223102
44,56.75537321143066
45,56.80335124756769
46,56.80335124756769
47,56.80335124756769
48,57.23870263300833
49,57.242280903587805
50,68.3064395871815
51,68.34889686299591
52,68.36636466549815
53,68.36791281521826
54,68.37343357554087
55,68.38226971309427
56,68.46487664532897
57,68.48402404422566
58,68.56026311534752
59,68.61541229782954
60,71.06032044070272
61,71.32670442886202
62,71.32670442886202
63,71.32670442886202
64,72.14459484702748
65,72.15313888086008
66,72.15410282313864
67,72.15410282313864
68,72.15509597578928
69,72.15509597578928
70,72.59982389066676
71,72.59982389066676
72,72.59982389066676
73,72.59982389066676
74,72.59982389066676
75,72.61077778019575
76,72.61077778019575
77,72.61190237952071
78,72.61190237952071
79,72.61190237952071
80,75.60654972488942
81,75.62192898578813
82,75.62192898578813
83,75.62192898578813
84,75.62192898578813
85,75.62317042660142
86,75.62317042660142
87,75.62317042660142
88,75.62445568297282
89,75.62445568297282
90,75.712524954786
91,75.712524954786
92,75.712524954786
93,75.712524954786
94,75.712524954786
95,75.712524954786
96,75.72794803124283
97,75.72936473428858
98,75.73222735075215
99,75.77560475328701
100,86.79229658225502
101,86.79524682983482
102,86.79524682983482
103,86.79524682983482
104,86.79524682983482
105,86.79524682983482
106,86.79524682983482
107,86.79524682983482
108,86.79524682983482
109,86.79524682983482
110,86.79685340029909
111,86.79685340029909
112,86.79685340029909
113,86.79685340029909
114,86.79685340029909
115,86.79685340029909
116,86.79685340029909
117,86.79685340029909
118,86.79685340029909
119,86.79685340029909
120,87.0807782168908
121,87.0807782168908
122,87.0807782168908
123,87.0807782168908
124,87.0807782168908
125,87.0807782168908
126,87.0807782168908
127,87.0807782168908
128,87.1518178417829
129,87.1518178417829
130,87.2087780673337
131,87.2087780673337
132,87.2087780673337
133,87.2087780673337
134,87.2087780673337
135,87.2087780673337
136,87.2087780673337
137,87.2087780673337
138,87.2087780673337
139,87.2087780673337
140,88.40698752994611
141,88.40698752994611
142,88.40698752994611
143,88.40698752994611
144,88.40698752994611
145,88.40698752994611
146,88.40698752994611
147,88.40698752994611
148,88.40698752994611
149,88.40698752994611
150,89.21757535509224
151,89.21978073818407
152,89.21978073818407
153,89.21978073818407
154,89.21978073818407
155,89.21978073818407
156,89.21978073818407
157,89.21978073818407
158,89.21978073818407
159,89.21978073818407
160,89.31792758836393
161,89.31792758836393
162,89.31792758836393
163,89.31792758836393
164,89.31792758836393
165,89.31792758836393
166,89.31792758836393
167,89.31792758836393
168,89.31792758836393
169,89.31792758836393
170,89.31792758836393
171,89.31792758836393
172,89.31792758836393
173,89.31792758836393
174,89.31792758836393
175,89.31792758836393
176,89.31792758836393
177,89.31792758836393
178,89.31792758836393
179,89.31792758836393
180,89.35473265718137
181,89.35473265718137
182,89.35473265718137
183,89.35473265718137
184,89.35473265718137
185,89.35473265718137
186,89.35473265718137
187,89.35473265718137
188,89.35473265718137
189,89.35473265718137
190,89.35750764252872
191,89.35750764252872
192,89.35750764252872
193,89.35750764252872
194,89.35750764252872
195,89.35750764252872
196,89.35750764252872
197,89.35750764252872
198,89.35750764252872
199,89.35750764252872
200,93.22496090556827
201,93.22496090556827
202,93.22496090556827
203,93.22496090556827
204,93.22496090556827
205,93.22496090556827
206,93.22496090556827
207,93.22496090556827
208,93.22496090556827
209,93.22496090556827
210,93.22802799463639
211,93.22802799463639
212,93.22802799463639
213,93.22802799463639
214,93.22802799463639
215,93.22802799463639
216,93.22802799463639
217,93.22802799463639
218,93.22802799463639
219,93.22802799463639
220,93.23445427649341
221,93.23445427649341
222,93.23445427649341
223,93.23445427649341
224,93.23445427649341
225,93.23445427649341
226,93.23445427649341
227,93.23445427649341
228,93.23445427649341
229,93.23445427649341
230,93.23445427649341
231,93.23445427649341
232,93.23445427649341
233,93.23445427649341
234,93.23445427649341
235,93.23445427649341
236,93.23445427649341
237,93.23445427649341
238,93.23445427649341
239,93.23445427649341
240,93.24847525509053
241,93.24847525509053
242,93.24847525509053
243,93.24847525509053
244,93.24847525509053
245,93.24847525509053
246,93.24847525509053
247,93.24847525509053
248,93.24847525509053
249,93.24847525509053
250,93.50041471425756
251,93.50041471425756
252,93.50041471425756
253,93.50041471425756
254,93.50041471425756
255,93.50041471425756
256,93.55649862864605
257,93.55649862864605
258,93.55649862864605
259,93.55649862864605
260,93.55649862864605
261,93.55649862864605
262,93.55649862864605
263,93.55649862864605
264,93.55649862864605
265,93.55649862864605
266,93.55649862864605
267,93.55649862864605
268,93.55649862864605
269,93.55649862864605
270,93.55649862864605
271,93.55649862864605
272,93.55649862864605
273,93.55649862864605
274,93.55649862864605
275,93.55649862864605
276,93.55649862864605
277,93.55649862864605
278,93.55649862864605
279,93.55649862864605
280,93.55649862864605
281,93.55649862864605
282,93.55649862864605
283,93.55649862864605
284,93.55649862864605
285,93.55649862864605
286,93.55649862864605
287,93.55649862864605
288,93.55649862864605
289,93.55649862864605
290,93.55649862864605
291,93.55649862864605
292,93.55649862864605
293,93.55649862864605
294,93.55649862864605
295,93.55649862864605
296,93.55649862864605
297,93.55649862864605
298,93.55649862864605
299,93.55649862864605
300,94.24878444687896
301,94.24878444687896
302,94.24878444687896
303,94.24878444687896
304,94.24878444687896
305,94.24878444687896
306,94.24878444687896
307,94.24878444687896
308,94.24878444687896
309,94.24878444687896
310,94.24878444687896
311,94.24878444687896
312,94.24878444687896
313,94.24878444687896
314,94.24878444687896
315,94.24878444687896
316,94.24878444687896
317,94.24878444687896
318,94.24878444687896
319,94.24878444687896
320,94.24878444687896
321,94.24878444687896
322,94.24878444687896
323,94.24878444687896
324,94.24878444687896
325,94.24878444687896
326,94.24878444687896
327,94.24878444687896
328,94.24878444687896
329,94.24878444687896
330,94.24878444687896
331,94.24878444687896
332,94.24878444687896
333,94.24878444687896
334,94.24878444687896
335,94.24878444687896
336,94.24878444687896
337,94.24878444687896
338,94.24878444687896
339,94.24878444687896
340,94.24878444687896
341,94.24878444687896
342,94.24878444687896
343,94.24878444687896
344,94.24878444687896
345,94.24878444687896
346,94.24878444687896
347,94.24878444687896
348,94.24878444687896
349,94.24878444687896
350,94.2538962619925
351,94.2538962619925
352,94.2538962619925
353,94.2538962619925
354,94.2538962619925
355,94.2538962619925
356,94.2538962619925
357,94.2538962619925
358,94.2538962619925
359,94.2538962619925
360,94.25915412896643
361,94.25915412896643
362,94.25915412896643
363,94.25915412896643
364,94.25915412896643
365,94.25915412896643
366,94.25915412896643
367,94.25915412896643
368,94.25915412896643
369,94.25915412896643
370,94.25915412896643
371,94.25915412896643
372,94.25915412896643
373,94.25915412896643
374,94.25915412896643
375,94.25915412896643
376,94.25915412896643
377,94.25915412896643
378,94.25915412896643
379,94.25915412896643
380,94.25915412896643
381,94.25915412896643
382,94.25915412896643
383,94.25915412896643
384,94.25915412896643
385,94.25915412896643
386,94.25915412896643
387,94.25915412896643
388,94.25915412896643
389,94.25915412896643
390,94.25915412896643
391,94.25915412896643
392,94.25915412896643
393,94.25915412896643
394,94.25915412896643
395,94.25915412896643
396,94.25915412896643
397,94.25915412896643
398,94.25915412896643
399,94.25915412896643
400,97.19771755994661
401,97.20357423954813
402,97.20357423954813
403,97.20357423954813
404,97.20357423954813
405,97.20357423954813
406,97.20357423954813
407,97.20357423954813
408,97.20357423954813
409,97.20357423954813
410,97.20357423954813
411,97.20357423954813
412,97.20357423954813
413,97.20357423954813
414,97.20357423954813
415,97.20357423954813
416,97.20357423954813
417,97.20357423954813
418,97.20357423954813
419,97.20357423954813
420,97.20357423954813
421,97.20357423954813
422,97.20357423954813
423,97.20357423954813
424,97.20357423954813
425,97.20357423954813
426,97.20357423954813
427,97.20357423954813
428,97.20357423954813
429,97.20357423954813
430,97.20357423954813
431,97.20357423954813
432,97.20357423954813
433,97.20357423954813
434,97.20357423954813
435,97.20357423954813
436,97.20357423954813
437,97.20357423954813
438,97.20357423954813
439,97.20357423954813
440,97.20357423954813
441,97.20357423954813
442,97.20357423954813
443,97.20357423954813
444,97.20357423954813
445,97.20357423954813
446,97.20357423954813
447,97.20357423954813
448,97.20357423954813
449,97.20357423954813
450,97.20357423954813
451,97.20357423954813
452,97.20357423954813
453,97.20357423954813
454,97.20357423954813
455,97.20357423954813
456,97.20357423954813
457,97.20357423954813
458,97.20357423954813
459,97.20357423954813
460,97.20357423954813
461,97.20357423954813
462,97.20357423954813
463,97.20357423954813
464,97.20357423954813
465,97.20357423954813
466,97.20357423954813
467,97.20357423954813
468,97.20357423954813
469,97.20357423954813
470,97.20357423954813
471,97.20357423954813
472,97.20357423954813
473,97.20357423954813
474,97.20357423954813
475,97.20357423954813
476,97.20357423954813
477,97.20357423954813
478,97.20357423954813
